Country Name,region,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
india,Andaman & Nicobar Island,0,0,0,25,6,24,67,139,153,92,18,49,168,98
india,Andra Pradesh,587,313,1190,776,1209,2299,910,1262,3159,3417,4925,4011,5286,925
india,Arunanchal Pradesh,0,0,0,0,0,346,0,27,1933,13,18,1,123,1
india,Assam,0,0,0,237,0,1058,4526,85,1076,6157,5024,166,196,33
india,Bihar,0,1,1,510,21,872,1246,297,1771,1912,1854,2142,6712,493
india,Chandigarh,99,167,25,221,73,351,107,13,966,1246,1125,301,286,265
india,Chhattisgarh,0,0,26,4,313,45,83,440,384,356,444,2674,722,57
india,Dadara & Nagar Havelli,0,0,0,46,68,156,190,641,1154,4161,2064,493,1491,248
india,Daman & Diu,0,0,0,0,0,96,61,46,165,89,59,163,625,71
india,Delhi,548,1312,1153,6259,1131,2093,5574,995,15867,4431,9271,7136,5077,1269
india,Goa,36,43,277,242,26,39,198,168,293,150,235,335,992,376
india,Gujarat,570,1065,2461,2568,1693,3067,6272,2320,5590,8028,4753,7579,18219,1564
india,Haryana,365,1137,125,866,267,768,1784,214,9921,2493,4550,1898,1207,1377
india,Himachal Pradesh,0,0,0,3,0,73,89,2,19,322,452,4672,344,21
india,Jammu & Kashmir,0,0,2,0,3,17,1837,1,153,79,488,214,439,53
india,Jharkhand,0,0,0,27,36,42,161,36,102,414,710,463,825,79
india,Karnataka,230,339,1764,2285,405,3924,6408,3358,5077,6083,17844,4427,16986,3823
india,Kerala,603,733,1425,2597,1304,4172,7938,2575,4075,7439,19994,4083,4652,4399
india,Madhya Pradesh,51,3,1467,175,50,239,1255,2131,2108,3150,2666,4506,4189,806
india,Maharashtra,614,743,2255,1489,1138,2931,5610,8573,4936,6792,7829,11011,14907,3356
india,Manipur,51,0,0,7,220,6,9,0,52,51,193,14,359,37
india,Meghalaya,0,0,0,1,0,27,43,0,13,172,52,44,82,4
india,Mizoram,0,0,0,1,0,6,7,19,43,580,136,68,42,67
india,Nagaland,0,0,25,0,3,0,0,0,21,142,357,369,8,1
india,Odisha,4,0,0,29,1816,2255,7132,6433,2450,8380,4158,5198,3758,496
india,Puducherry,274,35,66,96,463,3506,2215,1322,771,490,4568,592,2030,633
india,Punjab,28,4349,245,4012,3921,770,4117,472,14128,10439,15398,14980,10289,8435
india,Rajasthan,540,682,1389,1823,1072,1295,4413,1243,4043,5292,8427,9587,13706,2023
india,Sikkim,0,0,0,0,2,2,38,5,21,82,312,320,444,11
india,Tamil Nadu,707,530,1072,2051,2501,12826,6122,2804,4535,2531,23294,4486,8527,2410
india,Telangana,0,0,0,0,0,0,0,704,1831,4037,5369,4592,13331,2173
india,Tripura,0,0,0,0,0,9,8,6,40,102,127,100,114,24
india,Uttar Pradesh,132,51,168,960,155,342,1414,200,2892,15033,3092,3829,10557,3715
india,Uttarakhand,0,20,0,178,454,110,54,106,1655,2146,849,689,10622,76
india,West Bengal,95,1038,399,805,510,6456,5920,3934,8516,22865,37746,0,0,5166
